id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
3185,HD 33844 c,345,1.75 Jupiters,7.29,2015
3186,HD 34445 b,150,0.82 Jupiters,7.31,2009
3187,HD 34445 c,150,0.168 Jupiters,7.31,2017
3188,HD 34445 d,150,30.7 Earths,7.31,2017
3189,HD 34445 e,150,16.8 Earths,7.31,2017
3190,HD 34445 f,150,37.9 Earths,7.31,2017
3191,HD 34445 g,150,0.38 Jupiters,7.31,2017
3192,HD 35759 b,232,3.76 Jupiters,7.74,2016
3193,HD 360 b,364,0.75 Jupiters,5.986,2021
3194,HD 3651 b,36,0.228 Jupiters,5.88437,2003
3195,HD 37124 b,103,0.675 Jupiters,7.68,2002
3196,HD 37124 c,103,0.652 Jupiters,7.68,2002
3197,HD 37124 d,103,0.696 Jupiters,7.68,2005
3198,HD 37605 b,153,2.69 Jupiters,8.67,2004
3199,HD 37605 c,153,3.19 Jupiters,8.67,2012
3200,HD 32963 b,124,0.7 Jupiters,7.6,2015
3201,HD 330075 b,148,0.48 Jupiters,9.36,2004
3202,HD 331093 b,164,1.5 Jupiters,8.38,2021
3203,HD 33142 b,396,1.26 Jupiters,7.96,2011
3204,HD 33142 c,396,0.89 Jupiters,7.96,2018
3205,HD 33142 d,396,0.2 Jupiters,7.96,2022
3206,HD 332231 b,263,0.244 Jupiters,8.558,2020
3207,HD 33283 b,293,0.329 Jupiters,8.05,2006
3208,HD 33564 b,68,9.1 Jupiters,5.10111,2005
3209,HD 33844 b,345,2.01 Jupiters,7.29,2015
3210,HD 33844 c,345,1.75 Jupiters,7.29,2015
3211,HD 34445 b,150,0.82 Jupiters,7.31,2009
3212,HD 34445 c,150,0.168 Jupiters,7.31,2017
3213,HD 34445 d,150,30.7 Earths,7.31,2017
3214,HD 34445 e,150,16.8 Earths,7.31,2017
3215,HD 34445 f,150,37.9 Earths,7.31,2017
3216,HD 34445 g,150,0.38 Jupiters,7.31,2017
3217,HD 35759 b,232,3.76 Jupiters,7.74,2016
3218,HD 360 b,364,0.75 Jupiters,5.986,2021
3219,HD 3651 b,36,0.228 Jupiters,5.88437,2003
3220,HD 37124 b,103,0.675 Jupiters,7.68,2002
3221,HD 37124 c,103,0.652 Jupiters,7.68,2002
3222,HD 37124 d,103,0.696 Jupiters,7.68,2005
3223,HD 37605 b,153,2.69 Jupiters,8.67,2004
3224,HD 37605 c,153,3.19 Jupiters,8.67,2012
3225,HD 32963 b,124,0.7 Jupiters,7.6,2015
3226,HD 330075 b,148,0.48 Jupiters,9.36,2004
3227,HD 331093 b,164,1.5 Jupiters,8.38,2021
3228,HD 33142 b,396,1.26 Jupiters,7.96,2011
3229,HD 33142 c,396,0.89 Jupiters,7.96,2018
3230,HD 33142 d,396,0.2 Jupiters,7.96,2022
3231,HD 332231 b,263,0.244 Jupiters,8.558,2020
3232,HD 33283 b,293,0.329 Jupiters,8.05,2006
3233,HD 33564 b,68,9.1 Jupiters,5.10111,2005
3234,HD 33844 b,345,2.01 Jupiters,7.29,2015
3235,HD 33844 c,345,1.75 Jupiters,7.29,2015
3236,HD 34445 b,150,0.82 Jupiters,7.31,2009
3237,HD 34445 c,150,0.168 Jupiters,7.31,2017
3238,HD 34445 d,150,30.7 Earths,7.31,2017
3239,HD 34445 e,150,16.8 Earths,7.31,2017
3240,HD 34445 f,150,37.9 Earths,7.31,2017
3241,HD 34445 g,150,0.38 Jupiters,7.31,2017
3242,HD 35759 b,232,3.76 Jupiters,7.74,2016
3243,HD 360 b,364,0.75 Jupiters,5.986,2021
3244,HD 3651 b,36,0.228 Jupiters,5.88437,2003
3245,HD 37124 b,103,0.675 Jupiters,7.68,2002
